Date,State,District,Pincode,Age_0_5,Age_5_17,Age_18_greater
12/9/2025,Rajasthan,Ajmer,305802,7,1,0
12/9/2025,Rajasthan,Ajmer,305812,1,3,0
13-09-2025,Rajasthan,Ajmer,305003,1,1,0
13-09-2025,Rajasthan,Ajmer,305021,1,4,0
13-09-2025,Rajasthan,Ajmer,305203,5,1,0
13-09-2025,Rajasthan,Ajmer,305205,2,0,0
13-09-2025,Rajasthan,Ajmer,305404,1,0,0
13-09-2025,Rajasthan,Ajmer,305625,4,0,0
13-09-2025,Rajasthan,Ajmer,305627,0,1,0
13-09-2025,Rajasthan,Ajmer,305814,3,3,0
13-09-2025,Rajasthan,Ajmer,305901,12,6,0
13-09-2025,Rajasthan,Ajmer,305923,1,0,0
13-09-2025,Rajasthan,Ajmer,305926,2,0,0
15-09-2025,Rajasthan,Ajmer,305415,1,1,0
15-09-2025,Rajasthan,Ajmer,305628,0,1,0
15-09-2025,Rajasthan,Ajmer,305811,2,0,0
15-09-2025,Rajasthan,Ajmer,305925,3,0,0
16-09-2025,Rajasthan,Ajmer,305003,0,1,0
16-09-2025,Rajasthan,Ajmer,305201,1,1,0
16-09-2025,Rajasthan,Ajmer,305405,1,2,0
16-09-2025,Rajasthan,Ajmer,305601,4,0,0
16-09-2025,Rajasthan,Ajmer,305625,1,0,0
16-09-2025,Rajasthan,Ajmer,305628,8,1,0
16-09-2025,Rajasthan,Ajmer,305811,1,0,0
17-09-2025,Rajasthan,Ajmer,305201,3,0,0
17-09-2025,Rajasthan,Ajmer,305202,1,0,0
17-09-2025,Rajasthan,Ajmer,305401,4,0,0
17-09-2025,Rajasthan,Ajmer,305406,4,2,0
17-09-2025,Rajasthan,Ajmer,305415,1,0,0
17-09-2025,Rajasthan,Ajmer,305601,3,0,0
17-09-2025,Rajasthan,Ajmer,305801,16,2,0
17-09-2025,Rajasthan,Ajmer,305811,2,0,0
17-09-2025,Rajasthan,Ajmer,305815,4,0,0
17-09-2025,Rajasthan,Ajmer,305901,11,5,0
17-09-2025,Rajasthan,Ajmer,305922,2,1,0
17-09-2025,Rajasthan,Ajmer,305925,5,0,0
17-09-2025,Rajasthan,Ajmer,305926,2,1,0
17-09-2025,Rajasthan,Ajmer,305927,2,2,0
18-09-2025,Rajasthan,Ajmer,305624,3,0,0
18-09-2025,Rajasthan,Ajmer,305627,1,0,0
18-09-2025,Rajasthan,Ajmer,305812,1,0,0
18-09-2025,Rajasthan,Ajmer,305814,2,1,0
18-09-2025,Rajasthan,Ajmer,305901,14,0,0
19-09-2025,Rajasthan,Ajmer,305001,17,5,0
19-09-2025,Rajasthan,Ajmer,305022,2,0,1
19-09-2025,Rajasthan,Ajmer,305621,2,0,0
19-09-2025,Rajasthan,Ajmer,305812,0,1,0
19-09-2025,Rajasthan,Ajmer,305813,4,0,0
19-09-2025,Rajasthan,Ajmer,305924,3,0,0
19-09-2025,Rajasthan,Ajmer,305927,1,0,0
20-09-2025,Rajasthan,Ajmer,305007,1,0,0
20-09-2025,Rajasthan,Ajmer,305023,3,0,0
20-09-2025,Rajasthan,Ajmer,305203,5,0,0
20-09-2025,Rajasthan,Ajmer,305206,1,0,0
20-09-2025,Rajasthan,Ajmer,305621,4,0,0
20-09-2025,Rajasthan,Ajmer,305813,6,0,0
20-09-2025,Rajasthan,Ajmer,305927,0,1,0
22-09-2025,Rajasthan,Ajmer,305001,2,2,0
22-09-2025,Rajasthan,Ajmer,305814,0,1,0
22-09-2025,Rajasthan,Ajmer,305925,0,1,0
22-09-2025,Rajasthan,Ajmer,305927,1,0,0
25-09-2025,Rajasthan,Ajmer,305003,1,1,0
25-09-2025,Rajasthan,Ajmer,305404,1,0,0
25-09-2025,Rajasthan,Ajmer,305811,2,0,0
25-09-2025,Rajasthan,Ajmer,305922,2,0,0
25-09-2025,Rajasthan,Ajmer,305925,0,2,0
25-09-2025,Rajasthan,Ajmer,305926,0,4,0
23-09-2025,Rajasthan,Ajmer,305012,1,0,0
23-09-2025,Rajasthan,Ajmer,305025,2,0,0
23-09-2025,Rajasthan,Ajmer,305406,1,0,0
23-09-2025,Rajasthan,Ajmer,305408,1,0,0
23-09-2025,Rajasthan,Ajmer,305412,1,1,0
23-09-2025,Rajasthan,Ajmer,305601,2,1,0
23-09-2025,Rajasthan,Ajmer,305802,2,0,0
23-09-2025,Rajasthan,Ajmer,305812,1,0,0
23-09-2025,Rajasthan,Ajmer,305922,1,1,0
23-09-2025,Rajasthan,Ajmer,305926,2,1,0
24-09-2025,Rajasthan,Ajmer,305021,1,0,0
24-09-2025,Rajasthan,Ajmer,305203,0,2,0
24-09-2025,Rajasthan,Ajmer,305401,2,1,0
24-09-2025,Rajasthan,Ajmer,305402,1,0,0
24-09-2025,Rajasthan,Ajmer,305601,1,3,0
24-09-2025,Rajasthan,Ajmer,305627,3,0,0
24-09-2025,Rajasthan,Ajmer,305801,14,0,0
24-09-2025,Rajasthan,Ajmer,305802,1,0,0
24-09-2025,Rajasthan,Ajmer,305927,0,1,0
27-09-2025,Rajasthan,Ajmer,305001,5,0,0
27-09-2025,Rajasthan,Ajmer,305021,1,0,0
27-09-2025,Rajasthan,Ajmer,305204,2,0,0
27-09-2025,Rajasthan,Ajmer,305407,1,1,0
27-09-2025,Rajasthan,Ajmer,305801,2,1,0
26-09-2025,Rajasthan,Ajmer,305001,7,4,0
26-09-2025,Rajasthan,Ajmer,305003,1,0,0
26-09-2025,Rajasthan,Ajmer,305207,1,0,0
26-09-2025,Rajasthan,Ajmer,305403,4,0,0
26-09-2025,Rajasthan,Ajmer,305407,4,0,0
26-09-2025,Rajasthan,Ajmer,305801,4,1,0
26-09-2025,Rajasthan,Ajmer,305815,1,0,0
26-09-2025,Rajasthan,Ajmer,305901,18,1,0
26-09-2025,Rajasthan,Ajmer,305924,1,0,0
28-09-2025,Rajasthan,Ajmer,305811,0,1,0
29-09-2025,Rajasthan,Ajmer,305205,0,1,0
29-09-2025,Rajasthan,Ajmer,305622,1,0,0
29-09-2025,Rajasthan,Ajmer,305802,2,0,0
26-10-2025,Rajasthan,Ajmer,305012,1,0,0
26-10-2025,Rajasthan,Ajmer,305202,1,0,0
26-10-2025,Rajasthan,Ajmer,305207,1,0,0
26-10-2025,Rajasthan,Ajmer,305403,0,1,0
26-10-2025,Rajasthan,Ajmer,305925,3,0,0
13-10-2025,Rajasthan,Ajmer,305023,0,3,0
13-10-2025,Rajasthan,Ajmer,305207,4,0,0
13-10-2025,Rajasthan,Ajmer,305403,2,0,0
13-10-2025,Rajasthan,Ajmer,305404,4,0,0
13-10-2025,Rajasthan,Ajmer,305406,1,0,0
13-10-2025,Rajasthan,Ajmer,305408,2,1,0
13-10-2025,Rajasthan,Ajmer,305623,4,6,0
13-10-2025,Rajasthan,Ajmer,305924,0,1,0
13-10-2025,Rajasthan,Ajmer,305926,4,1,0
16-10-2025,Rajasthan,Ajmer,305207,1,0,0
16-10-2025,Rajasthan,Ajmer,305405,1,0,0
16-10-2025,Rajasthan,Ajmer,305415,1,0,0
16-10-2025,Rajasthan,Ajmer,305802,2,0,0
16-10-2025,Rajasthan,Ajmer,305819,1,0,0
16-10-2025,Rajasthan,Ajmer,305901,3,2,0
15-10-2025,Rajasthan,Ajmer,305024,1,0,0
15-10-2025,Rajasthan,Ajmer,305203,0,1,0
15-10-2025,Rajasthan,Ajmer,305624,3,0,0
15-10-2025,Rajasthan,Ajmer,305811,0,1,0
18-10-2025,Rajasthan,Ajmer,305023,1,0,0
18-10-2025,Rajasthan,Ajmer,305201,2,0,0
18-10-2025,Rajasthan,Ajmer,305622,0,1,0
18-10-2025,Rajasthan,Ajmer,305623,5,0,0
18-10-2025,Rajasthan,Ajmer,305924,2,1,0
18-10-2025,Rajasthan,Ajmer,305925,3,0,0
18-10-2025,Rajasthan,Ajmer,305927,2,0,0
17-10-2025,Rajasthan,Ajmer,305007,1,0,0
17-10-2025,Rajasthan,Ajmer,305023,1,3,0
17-10-2025,Rajasthan,Ajmer,305402,6,2,0
17-10-2025,Rajasthan,Ajmer,305404,1,0,0
17-10-2025,Rajasthan,Ajmer,305623,10,4,0
17-10-2025,Rajasthan,Ajmer,305624,4,2,0
17-10-2025,Rajasthan,Ajmer,305901,9,3,0
17-10-2025,Rajasthan,Ajmer,305922,3,1,0
17-10-2025,Rajasthan,Ajmer,305924,1,0,0
17-10-2025,Rajasthan,Ajmer,305926,3,1,0
20-10-2025,Rajasthan,Ajmer,305003,1,0,0
20-10-2025,Rajasthan,Ajmer,305401,1,0,0
19-10-2025,Rajasthan,Ajmer,305001,9,2,0
19-10-2025,Rajasthan,Ajmer,305002,1,0,0
19-10-2025,Rajasthan,Ajmer,305601,2,0,0
19-10-2025,Rajasthan,Ajmer,305625,1,0,0
19-10-2025,Rajasthan,Ajmer,305901,6,1,0
19-10-2025,Rajasthan,Ajmer,305925,4,0,0
24-10-2025,Rajasthan,Ajmer,305001,5,2,0
24-10-2025,Rajasthan,Ajmer,305004,0,1,0
24-10-2025,Rajasthan,Ajmer,305205,1,0,0
24-10-2025,Rajasthan,Ajmer,305623,2,1,0
24-10-2025,Rajasthan,Ajmer,305812,1,0,0
21-10-2025,Rajasthan,Ajmer,305001,1,0,0
21-10-2025,Rajasthan,Ajmer,305405,1,0,0
27-10-2025,Rajasthan,Ajmer,305003,1,0,0
27-10-2025,Rajasthan,Ajmer,305403,1,1,0
25-10-2025,Rajasthan,Ajmer,305003,3,0,0
25-10-2025,Rajasthan,Ajmer,305023,1,1,0
25-10-2025,Rajasthan,Ajmer,305621,0,1,0
25-10-2025,Rajasthan,Ajmer,305627,1,0,0
25-10-2025,Rajasthan,Ajmer,305628,2,0,0
25-10-2025,Rajasthan,Ajmer,305925,3,1,0
28-10-2025,Rajasthan,Ajmer,305001,9,1,0
28-10-2025,Rajasthan,Ajmer,305202,1,1,0
28-10-2025,Rajasthan,Ajmer,305408,1,0,0
28-10-2025,Rajasthan,Ajmer,305601,1,0,0
28-10-2025,Rajasthan,Ajmer,305627,2,0,0
29-10-2025,Rajasthan,Ajmer,305628,1,2,0
6/11/2025,Rajasthan,Ajmer,305004,2,0,0
6/11/2025,Rajasthan,Ajmer,305628,2,0,0
6/11/2025,Rajasthan,Ajmer,305801,7,1,0
6/11/2025,Rajasthan,Ajmer,305901,6,2,0
6/11/2025,Rajasthan,Ajmer,305925,3,0,0
5/11/2025,Rajasthan,Ajmer,305021,1,0,0
5/11/2025,Rajasthan,Ajmer,305025,5,0,0
5/11/2025,Rajasthan,Ajmer,305202,1,0,0
5/11/2025,Rajasthan,Ajmer,305204,3,1,0
5/11/2025,Rajasthan,Ajmer,305622,3,0,0
5/11/2025,Rajasthan,Ajmer,305623,13,1,0
5/11/2025,Rajasthan,Ajmer,305624,2,0,0
5/11/2025,Rajasthan,Ajmer,305802,1,0,0
5/11/2025,Rajasthan,Ajmer,305814,4,0,0
5/11/2025,Rajasthan,Ajmer,305925,3,0,0
8/11/2025,Rajasthan,Ajmer,305025,1,0,0
8/11/2025,Rajasthan,Ajmer,305405,3,0,0
8/11/2025,Rajasthan,Ajmer,305408,0,1,0
8/11/2025,Rajasthan,Ajmer,305601,2,2,0
8/11/2025,Rajasthan,Ajmer,305624,3,2,0
8/11/2025,Rajasthan,Ajmer,305627,1,0,0
8/11/2025,Rajasthan,Ajmer,305801,10,1,0
8/11/2025,Rajasthan,Ajmer,305819,0,2,0
8/11/2025,Rajasthan,Ajmer,305925,1,0,0
8/11/2025,Rajasthan,Ajmer,305926,0,2,0
7/11/2025,Rajasthan,Ajmer,305004,1,0,0
7/11/2025,Rajasthan,Ajmer,305022,1,1,0
7/11/2025,Rajasthan,Ajmer,305023,1,0,0
7/11/2025,Rajasthan,Ajmer,305811,1,0,0
7/11/2025,Rajasthan,Ajmer,305815,1,1,0
7/11/2025,Rajasthan,Ajmer,305816,1,0,0
7/11/2025,Rajasthan,Ajmer,305923,2,0,0
9/11/2025,Rajasthan,Ajmer,305025,1,0,0
9/11/2025,Rajasthan,Ajmer,305202,1,0,0
9/11/2025,Rajasthan,Ajmer,305404,2,1,0
9/11/2025,Rajasthan,Ajmer,305407,1,0,0
9/11/2025,Rajasthan,Ajmer,305622,1,0,0
9/11/2025,Rajasthan,Ajmer,305925,1,0,0
10/11/2025,Rajasthan,Ajmer,305025,2,0,0
10/11/2025,Rajasthan,Ajmer,305205,1,0,0
10/11/2025,Rajasthan,Ajmer,305408,1,0,0
10/11/2025,Rajasthan,Ajmer,305412,2,1,0
10/11/2025,Rajasthan,Ajmer,305415,3,0,0
10/11/2025,Rajasthan,Ajmer,305623,6,6,0
10/11/2025,Rajasthan,Ajmer,305816,1,0,0
10/11/2025,Rajasthan,Ajmer,305925,2,0,0
10/11/2025,Rajasthan,Ajmer,305927,1,0,0
14-11-2025,Rajasthan,Ajmer,305203,2,0,0
14-11-2025,Rajasthan,Ajmer,305204,5,1,0
14-11-2025,Rajasthan,Ajmer,305402,1,0,0
14-11-2025,Rajasthan,Ajmer,305404,2,1,0
14-11-2025,Rajasthan,Ajmer,305406,0,1,0
14-11-2025,Rajasthan,Ajmer,305802,0,1,0
14-11-2025,Rajasthan,Ajmer,305813,4,0,0
14-11-2025,Rajasthan,Ajmer,305814,2,2,0
13-11-2025,Rajasthan,Ajmer,305002,3,0,0
13-11-2025,Rajasthan,Ajmer,305004,0,0,1
13-11-2025,Rajasthan,Ajmer,305204,4,0,1
13-11-2025,Rajasthan,Ajmer,305406,1,0,0
13-11-2025,Rajasthan,Ajmer,305407,0,2,1
13-11-2025,Rajasthan,Ajmer,305624,3,0,1
13-11-2025,Rajasthan,Ajmer,305811,0,0,1
13-11-2025,Rajasthan,Ajmer,305901,10,4,2
13-11-2025,Rajasthan,Ajmer,305925,1,0,0
13-11-2025,Rajasthan,Ajmer,305926,1,1,1
1/11/2025,Rajasthan,Ajmer,305022,0,1,0
1/11/2025,Rajasthan,Ajmer,305206,1,0,0
1/11/2025,Rajasthan,Ajmer,305403,0,1,0
30-10-2025,Rajasthan,Ajmer,305005,2,0,0
30-10-2025,Rajasthan,Ajmer,305205,4,1,0
30-10-2025,Rajasthan,Ajmer,305402,1,0,1
30-10-2025,Rajasthan,Ajmer,305404,6,2,0
30-10-2025,Rajasthan,Ajmer,305406,2,1,0
30-10-2025,Rajasthan,Ajmer,305407,5,1,0
30-10-2025,Rajasthan,Ajmer,305623,10,1,0
31-10-2025,Rajasthan,Ajmer,305004,1,1,0
31-10-2025,Rajasthan,Ajmer,305022,2,4,0
31-10-2025,Rajasthan,Ajmer,305205,1,0,0
31-10-2025,Rajasthan,Ajmer,305601,1,1,0
31-10-2025,Rajasthan,Ajmer,305926,1,0,0
31-10-2025,Rajasthan,Ajmer,305927,2,0,0
2/11/2025,Rajasthan,Ajmer,305202,4,3,0
2/11/2025,Rajasthan,Ajmer,305203,1,0,0
2/11/2025,Rajasthan,Ajmer,305401,1,0,0
2/11/2025,Rajasthan,Ajmer,305403,4,1,0
2/11/2025,Rajasthan,Ajmer,305404,4,0,0
2/11/2025,Rajasthan,Ajmer,305601,5,1,0
2/11/2025,Rajasthan,Ajmer,305621,2,0,0
2/11/2025,Rajasthan,Ajmer,305624,4,2,0
2/11/2025,Rajasthan,Ajmer,305814,3,0,0
3/11/2025,Rajasthan,Ajmer,305023,1,0,0
3/11/2025,Rajasthan,Ajmer,305201,1,0,0
3/11/2025,Rajasthan,Ajmer,305202,1,0,0
3/11/2025,Rajasthan,Ajmer,305203,1,0,0
3/11/2025,Rajasthan,Ajmer,305628,0,1,0
3/11/2025,Rajasthan,Ajmer,305813,1,0,0
12/11/2025,Rajasthan,Ajmer,305023,1,0,0
12/11/2025,Rajasthan,Ajmer,305204,2,0,1
12/11/2025,Rajasthan,Ajmer,305206,0,0,1
12/11/2025,Rajasthan,Ajmer,305406,0,1,0
12/11/2025,Rajasthan,Ajmer,305601,0,1,0
12/11/2025,Rajasthan,Ajmer,305801,6,1,3
12/11/2025,Rajasthan,Ajmer,305816,1,0,0
12/11/2025,Rajasthan,Ajmer,305926,1,0,0
11/11/2025,Rajasthan,Ajmer,305001,15,5,0
11/11/2025,Rajasthan,Ajmer,305025,1,0,0
11/11/2025,Rajasthan,Ajmer,305202,4,0,0
11/11/2025,Rajasthan,Ajmer,305207,2,0,0
11/11/2025,Rajasthan,Ajmer,305406,0,3,0
11/11/2025,Rajasthan,Ajmer,305415,1,0,0
11/11/2025,Rajasthan,Ajmer,305624,2,1,0
11/11/2025,Rajasthan,Ajmer,305801,4,1,1
11/11/2025,Rajasthan,Ajmer,305924,2,0,0
15-11-2025,Rajasthan,Ajmer,305012,1,0,0
15-11-2025,Rajasthan,Ajmer,305023,9,0,0
15-11-2025,Rajasthan,Ajmer,305202,2,2,0
15-11-2025,Rajasthan,Ajmer,305204,14,6,0
15-11-2025,Rajasthan,Ajmer,305206,2,1,0
15-11-2025,Rajasthan,Ajmer,305404,12,2,0
15-11-2025,Rajasthan,Ajmer,305415,3,1,0
15-11-2025,Rajasthan,Ajmer,305802,5,2,0
15-11-2025,Rajasthan,Ajmer,305814,7,2,0
15-11-2025,Rajasthan,Ajmer,305815,2,0,0
16-11-2025,Rajasthan,Ajmer,305001,21,0,0
16-11-2025,Rajasthan,Ajmer,305022,2,0,0
16-11-2025,Rajasthan,Ajmer,305401,1,1,0
16-11-2025,Rajasthan,Ajmer,305412,1,1,0
16-11-2025,Rajasthan,Ajmer,305623,1,0,0
16-11-2025,Rajasthan,Ajmer,305627,0,0,2
16-11-2025,Rajasthan,Ajmer,305819,0,1,0
16-11-2025,Rajasthan,Ajmer,305925,1,0,0
16-11-2025,Rajasthan,Ajmer,305926,3,0,0
17-11-2025,Rajasthan,Ajmer,305205,1,0,0
17-11-2025,Rajasthan,Ajmer,305407,1,0,0
17-11-2025,Rajasthan,Ajmer,305927,2,0,0
18-11-2025,Rajasthan,Ajmer,305001,31,3,1
18-11-2025,Rajasthan,Ajmer,305004,2,0,0
18-11-2025,Rajasthan,Ajmer,305207,0,1,0
18-11-2025,Rajasthan,Ajmer,305407,3,0,0
18-11-2025,Rajasthan,Ajmer,305627,6,2,0
25-11-2025,Rajasthan,Ajmer,305023,4,2,0
25-11-2025,Rajasthan,Ajmer,305401,2,0,0
25-11-2025,Rajasthan,Ajmer,305412,3,0,0
25-11-2025,Rajasthan,Ajmer,305415,4,0,0
25-11-2025,Rajasthan,Ajmer,305621,0,1,0
25-11-2025,Rajasthan,Ajmer,305623,7,1,0
25-11-2025,Rajasthan,Ajmer,305628,2,2,1
25-11-2025,Rajasthan,Ajmer,305811,1,0,0
25-11-2025,Rajasthan,Ajmer,305814,2,1,0
19-11-2025,Rajasthan,Ajmer,305201,6,0,0
19-11-2025,Rajasthan,Ajmer,305202,2,0,0
19-11-2025,Rajasthan,Ajmer,305204,3,1,0
19-11-2025,Rajasthan,Ajmer,305624,2,1,0
19-11-2025,Rajasthan,Ajmer,305801,21,6,0
19-11-2025,Rajasthan,Ajmer,305813,6,1,0
19-11-2025,Rajasthan,Ajmer,305814,9,1,0
19-11-2025,Rajasthan,Ajmer,305927,1,0,0
15-12-2025,Rajasthan,Ajmer,305023,4,2,0
15-12-2025,Rajasthan,Ajmer,305201,1,0,0
15-12-2025,Rajasthan,Ajmer,305203,0,1,0
15-12-2025,Rajasthan,Ajmer,305406,4,0,0
15-12-2025,Rajasthan,Ajmer,305801,13,6,0
21-12-2025,Rajasthan,Ajmer,305401,3,0,0
21-12-2025,Rajasthan,Ajmer,305406,2,0,0
21-12-2025,Rajasthan,Ajmer,305624,2,0,0
21-12-2025,Rajasthan,Ajmer,305627,1,0,0
21-12-2025,Rajasthan,Ajmer,305814,2,0,0
22-12-2025,Rajasthan,Ajmer,305004,3,0,0
22-12-2025,Rajasthan,Ajmer,305021,4,0,0
22-12-2025,Rajasthan,Ajmer,305202,4,0,0
22-12-2025,Rajasthan,Ajmer,305401,4,0,0
22-12-2025,Rajasthan,Ajmer,305412,4,0,0
22-12-2025,Rajasthan,Ajmer,305622,5,0,0
22-12-2025,Rajasthan,Ajmer,305627,8,0,0
22-12-2025,Rajasthan,Ajmer,305811,4,0,0
22-12-2025,Rajasthan,Ajmer,305812,2,0,0
23-12-2025,Rajasthan,Ajmer,305007,1,0,0
23-12-2025,Rajasthan,Ajmer,305022,1,0,0
23-12-2025,Rajasthan,Ajmer,305403,4,0,0
23-12-2025,Rajasthan,Ajmer,305924,1,0,0
24-12-2025,Rajasthan,Ajmer,305023,1,0,0
24-12-2025,Rajasthan,Ajmer,305025,2,1,0
24-12-2025,Rajasthan,Ajmer,305407,1,0,0
24-12-2025,Rajasthan,Ajmer,305627,1,1,0
24-12-2025,Rajasthan,Ajmer,305802,1,1,0
24-12-2025,Rajasthan,Ajmer,305815,1,0,0
26-12-2025,Rajasthan,Ajmer,305001,13,4,0
26-12-2025,Rajasthan,Ajmer,305012,0,1,0
26-12-2025,Rajasthan,Ajmer,305201,1,0,0
26-12-2025,Rajasthan,Ajmer,305206,3,0,0
26-12-2025,Rajasthan,Ajmer,305412,2,0,0
25-12-2025,Rajasthan,Ajmer,305206,1,0,0
25-12-2025,Rajasthan,Ajmer,305403,0,2,0
25-12-2025,Rajasthan,Ajmer,305405,2,2,0
25-12-2025,Rajasthan,Ajmer,305407,2,0,0
25-12-2025,Rajasthan,Ajmer,305622,3,0,0
25-12-2025,Rajasthan,Ajmer,305625,1,0,0
25-12-2025,Rajasthan,Ajmer,305925,1,1,0
28-12-2025,Rajasthan,Ajmer,305004,1,0,0
28-12-2025,Rajasthan,Ajmer,305204,3,0,0
28-12-2025,Rajasthan,Ajmer,305206,2,0,0
28-12-2025,Rajasthan,Ajmer,305207,1,0,0
28-12-2025,Rajasthan,Ajmer,305402,1,1,0
28-12-2025,Rajasthan,Ajmer,305923,0,1,0
29-12-2025,Rajasthan,Ajmer,305025,1,0,0
29-12-2025,Rajasthan,Ajmer,305401,5,1,0
29-12-2025,Rajasthan,Ajmer,305927,2,0,0
27-12-2025,Rajasthan,Ajmer,305003,5,1,0
27-12-2025,Rajasthan,Ajmer,305201,1,0,0
27-12-2025,Rajasthan,Ajmer,305204,3,2,0
27-12-2025,Rajasthan,Ajmer,305405,1,0,0
